cs_level|direction|sentence
2|EN_BASE|The bartender poured with such 丁寧 care that every 泡 on the beer was perfect.
2|EN_BASE|We ended up at the most 豪華 champagne bar, totally by 偶然.
2|EN_BASE|Their house gin has a 繊細 herbal note and an almost 透明 finish.
2|EN_BASE|Is this bar 有名 for anything besides its 景色?
2|EN_BASE|She described the wine as 上品, which is exactly the 評判 it has earned.
2|EN_BASE|The late-night 混雑 here is real, so we'll need 忍耐 just to get a seat.
2|EN_BASE|There's something so 心地よい about a bar where the 照明 is just dim enough.
2|EN_BASE|He's a very 几帳面 drinker — always notes the 産地 of every wine he tries.
2|EN_BASE|The mojito here is 本格的, not the watered-down 偽物 you get elsewhere.
2|EN_BASE|After one sip she gave a look of pure 満足, and the whole 空気 at the table relaxed.
2|EN_BASE|This speakeasy has a 秘密 entrance and an even more 秘密 menu.
2|EN_BASE|The wine list here is so 膨大 that it takes real 集中 just to pick one bottle.
2|EN_BASE|He tends to get very 正直 after a nightcap, which is why his 友人 keep buying rounds.
2|EN_BASE|That cocktail looks 鮮やか, but the real 魅力 is the smoky aftertaste.
2|EN_BASE|The bartender's 技 was so impressive, the whole bar fell into a kind of 無言 awe.
2|EN_BASE|She finds 一人 drinking at a quiet bar oddly 贅沢.
2|EN_BASE|The 定番 cocktail here is a negroni, but the 季節 specials are worth exploring.
2|EN_BASE|Is it 失礼 to ask the bartender for a 割引 on a slow night?
2|EN_BASE|The cold lager tasted especially 格別 after such a 長い day on our feet.
2|EN_BASE|There's a 上質 leather smell to this bar that makes it feel 高級.
2|EN_BASE|She always chooses wine with a kind of 直感 that embarrasses every 専門家 in the room.
2|EN_BASE|The outdoor terrace has a totally 開放的 feel, perfect for 夕暮れ drinks.
2|EN_BASE|We tried a 希少 single-malt that the barkeep only brings out for 特別 guests.
2|EN_BASE|His 素直 reaction to the tasting flight made the sommelier's whole 努力 worthwhile.
2|EN_BASE|The neon sign outside is 派手, but inside the 雰囲気 is unexpectedly intimate.
2|EN_BASE|I love how 自由 this bar feels — no dress code, no 制限 on creativity.
2|EN_BASE|The 深夜 crowd here is a mix of 多様 characters you wouldn't expect to share a bar.
2|EN_BASE|She described the cocktail's finish as 複雑, which piqued everyone's 好奇心.
2|EN_BASE|The bar's 内装 is pure 昭和 nostalgia — wooden stools, dim pendants, the works.
2|EN_BASE|That 辛口 gin packs a real punch, so ask the bartender for a 少量 pour first.
2|EN_BASE|There's a certain 誇り in this pub's 歴史 — it hasn't changed a thing in fifty years.
2|EN_BASE|The bartender's 笑顔 made this cramped little bar feel surprisingly 温かい.
2|JP_BASE|うちのcatはいつもsofa の上で丸くなっています。
2|JP_BASE|この犬はとてもfriendlyで、見知らぬ人にもgentleです。
2|JP_BASE|hamsterを新しいcageに移すとき、すごく緊張しました。
2|JP_BASE|その鳥はbrightな羽を持っていて、とてもcolorfulです。
2|JP_BASE|金魚のfishbowlが汚れたので、今日はcleanにしました。
2|JP_BASE|puppyが庭でplayfulに走り回っているのを見て、思わず笑いました。
2|JP_BASE|このsnakeはtameで、子どもでも安全に触れます。
2|JP_BASE|猫のfurがとてもsoftなので、ずっと撫でていたくなります。
2|JP_BASE|その子猫はtinyで、手のひらにすっぽりとfitします。
2|JP_BASE|野生のfoxが庭に入ってきて、家族みんなでsilentに見守りました。
2|JP_BASE|この熱帯魚はcolorfulで、水槽の中でとてもbeautifulに見えます。
2|JP_BASE|dogのleashが古くなったので、新しいものを買いに行きました。
2|JP_BASE|その馬はvery gentleで、初心者のriderにも優しいです。
2|JP_BASE|猫がindoorにいるときはquietなのに、夜になると急に活発になります。
2|JP_BASE|動物園でpolarな環境に住むarcticの動物を初めて見ました。
2|JP_BASE|子犬のpawがとても小さくてadorableだと思いませんか。
2|JP_BASE|うちの犬はstrangerに対してloudに吠える癖があります。
2|JP_BASE|tropicalな気候に住む動物はcolorfulな見た目のものが多いです。
2|JP_BASE|亀はslowなイメージがありますが、実はvery activeなこともあります。
2|JP_BASE|その犬のtailは常にhappyに揺れていて、見ているだけで癒されます。
2|JP_BASE|野良猫にfoodを与えると、すぐにfriendlyになってくれます。
2|JP_BASE|このbirdsの声はso sweetで、毎朝聞くのが楽しみです。
2|JP_BASE|その動物はwild な本能を持ちながら、驚くほどgentleな面もあります。
2|JP_BASE|猫のwhiskerはとてもsensitiveで、狭い場所を通るときに役立ちます。
2|JP_BASE|このgymはequipmentが古くて、少し使いにくいです。
2|JP_BASE|週末にbasketballの試合があって、チームのmorale がとても高い。
2|JP_BASE|あのcoachは選手に対してとても strictで、練習が厳しい。
2|JP_BASE|今日のwarm-upはいつもより長く、体がheavyに感じた。
2|JP_BASE|このstretchingルーティンはflexibleな体を作るのに効果的だ。
2|JP_BASE|彼女はyoga matの上でbalanceポーズを長時間キープした。
2|JP_BASE|そのathlete はmental focusを高めるために瞑想を取り入れている。
2|JP_BASE|彼女はcompetitionに向けてdailyにトレーニング記録をつけている。
2|JP_BASE|トレーニングのpeak phaseに入ったので、睡眠とnutritionが特に大事だ。
2|EN_BASE|The new software update felt really 新鮮 to me, even though the 使い方 took some getting used to.
2|EN_BASE|My laptop's 画面 keeps flickering, which ruins the whole 集中 I need to work.
2|EN_BASE|The cloud storage system has a certain 余裕 built in, so there's no 無駄 in disk allocation.
2|EN_BASE|Does this keyboard have 静か switches, or will it disturb the whole 雰囲気 of the office?
2|EN_BASE|She explained the algorithm in a very 丁寧 way, so even the 初心者 in the room understood it.
2|EN_BASE|The app's 本音 is that it collects your data, despite the 建前 of being privacy-focused.
2|EN_BASE|I prefer a monitor with a matte finish because the 光沢 bothers my eyes and kills my 集中力.
2|EN_BASE|His coding style has a certain 独自 flair that makes his pull requests stand out from the 平均.
2|EN_BASE|The terminal emulator loads with a kind of 重厚 feeling, as if every command carries real 重み.
2|EN_BASE|Can you configure the server so the response time has more 余裕, rather than running at the 限界?
2|EN_BASE|The debug logs revealed the 根本 of the issue, but fixing it required a completely different 発想.
2|EN_BASE|She set her phone to 静か mode before the presentation, which kept the whole room in a good 流れ.
2|EN_BASE|That open-source library is surprisingly 豪華 in features, yet the 負担 on your system is minimal.
2|EN_BASE|The new IDE feels very 快適 to use, and it has improved my daily 作業 efficiency noticeably.
2|EN_BASE|We need a more 柔軟 architecture here, because the current 制約 will block us from scaling.
2|EN_BASE|The pixel density of this display is incredibly 精密, which makes reading 文字 on it a pleasure.
2|EN_BASE|I find coding in the 深夜 strangely productive, perhaps because of the 静けさ of the environment.
2|EN_BASE|The router's 設定 menu is honestly a bit 複雑, so most users never touch it.
2|EN_BASE|Working with legacy code requires a kind of 忍耐, especially when the 文書 is nonexistent.
2|EN_BASE|The GPU renders shadows with surprising 細かさ, giving every scene a more 本物 look and feel.
2|EN_BASE|Her 直感 told her the encryption was flawed, and sure enough, the 脆弱 point appeared in testing.
2|EN_BASE|This compiler error message is weirdly 親切 compared to what I expected, given the 複雑 logic.
2|EN_BASE|The startup's product has a real 独創 edge, yet its 普及 among mainstream users has been slow.
2|EN_BASE|I appreciate how the 操作 panel was designed with 丁寧 attention to every small detail.
2|EN_BASE|The malware spread with an almost 巧妙 precision, exploiting every 盲点 in the firewall rules.
2|EN_BASE|A good UI should carry users toward their goal with 自然 ease, removing any sense of 負荷.
2|EN_BASE|The data center maintains a 厳密 temperature range, because even small 誤差 can damage hardware.
2|EN_BASE|His 発想 for the new feature was surprisingly 斬新, and the whole team got excited about it.
2|EN_BASE|The touchpad on this laptop is 滑らか enough that using a mouse feels like 後退.
2|EN_BASE|Does the new encryption standard offer enough 安心 for users, or is there still a 懸念 about key management?
2|EN_BASE|The software release cycle felt very 順調 this quarter, with almost no 混乱 in the deployment pipeline.
2|EN_BASE|I like how this text editor uses 最小限 design principles, keeping the 視野 clear and uncluttered.
2|EN_BASE|The battery life on this device is 驚異 considering its performance, a real 強み for remote workers.
2|EN_BASE|The codebase has a kind of 歴史 that you can feel in every file, each layer showing a different 時代.
2|EN_BASE|She handled the server outage with genuine 冷静, which set the 基準 for how the whole team should respond.
2|EN_BASE|The AI assistant gave a very 明快 answer, cutting through the 曖昧 that usually surrounds that topic.
2|EN_BASE|This API has an almost 完璧 design, but the 欠点 is that the rate limits are far too strict.
2|EN_BASE|The network latency here is 最悪, which completely undermines the whole 体験 of using the app live.
2|EN_BASE|We spent the whole sprint chasing a 微妙 bug that only appeared under very specific 条件.
2|EN_BASE|The programmer's 姿勢 toward testing was very 真剣, and it showed in the final product quality.
2|EN_BASE|My 集中力 during video calls has been surprisingly 安定 lately.
2|EN_BASE|Working from home gives me more 余裕 to cook a proper lunch with 丁寧 attention to detail.
2|EN_BASE|The biggest 課題 of remote work is staying 前向き when no one is watching.
2|EN_BASE|I set up a small 作業スペース in the corner of my bedroom, and the 雰囲気 is actually great.
2|EN_BASE|Does your home office have enough 自然光, or is the 照明 still giving you headaches?
2|EN_BASE|She handles every 締め切り with 冷静 precision, even while working remotely.
2|EN_BASE|The lack of 通勤 has given me back so much 時間 every single week.
2|EN_BASE|I find it hard to maintain 境界線 between personal life and 業務 when the desk is two steps from the bed.
2|EN_BASE|Working in 静寂 all day can feel isolating, but the 自由 is worth it.
2|EN_BASE|His 本音 about remote work only came out after three drinks, and it was full of 不満.
2|EN_BASE|Can you explain why the team's 士気 dropped so fast after the 方針 changed?
2|EN_BASE|I spent the whole morning in a state of 集中 and barely noticed the 騒音 outside.
2|EN_BASE|Working from home demands a lot of 自制心, especially when the sofa is a constant 誘惑.
2|EN_BASE|She noticed a clear 変化 in her energy levels now that the 通勤 stress is gone.
2|EN_BASE|Have you found a way to signal 仕事モード to your family without creating 摩擦?
2|EN_BASE|The open kitchen is a real 弱点 for me because food is my biggest 気晴らし.
2|EN_BASE|My manager praised my 成果 but still questioned my 勤怠 records from last quarter.
2|EN_BASE|I try to dress properly in the morning as a kind of 儀式 to maintain a sense of 規律.
2|EN_BASE|The home environment lacks the 緊張感 of an office, which can be both a 強み and a weakness.
2|EN_BASE|Working alone every day, I genuinely miss the 雑談 and casual 交流 with colleagues.
2|EN_BASE|Our team tried a 非同期 workflow, but the lack of 即時性 caused confusion on urgent projects.
2|EN_BASE|The hardest part is projecting 自信 on camera when your actual 気力 is running low.
2|EN_BASE|Remote work revealed how much of our old 習慣 was shaped by 場所 rather than real intention.
2|EN_BASE|Without a commute, I noticed that my 読書 habit returned, along with a deeper 好奇心 about everything.
2|EN_BASE|My cat sits on the keyboard and completely destroys my 集中力, yet somehow improves my 気分.
2|EN_BASE|Keeping the workspace 清潔 seems small, but it makes a genuine difference to your 生産性.
2|EN_BASE|I finished the report with 正確 data, but the presentation lacked the 熱量 my client expected.
2|EN_BASE|The company still expects 忠誠心 from remote workers, yet provides very little 支援 in return.
2|EN_BASE|Could you share any 工夫 you use to avoid afternoon 倦怠感 while working from home?
2|EN_BASE|The blurred 境界 between home and office can quietly damage your 心身 over time.
2|EN_BASE|She turned the spare room into a remarkably 快適 space with 最小限 furniture.
2|EN_BASE|Some colleagues show 表面上 enthusiasm in meetings while hiding real 懸念 about the workload.
2|EN_BASE|My biggest 反省 this year is that I let 連絡 with remote teammates go completely silent for weeks.
2|EN_BASE|The office had an invisible 秩序 that people followed, and working from home exposed how little 主体性 most of us had.
2|EN_BASE|I realized that high 品質 output from home actually requires more 意志力 than I ever expected.
2|EN_BASE|She described remote work as 孤独 in the best possible way, a rare chance for deep 内省.
2|EN_BASE|The doctor said my 体力 has improved, but I still need more 休養 before returning to work.
2|EN_BASE|She described the pain as 鋭い and said it came with a strange 圧迫感 in her chest.
2|EN_BASE|My 免疫力 was completely worn down by the end of winter, so I started taking 栄養補助食品 every morning.
2|EN_BASE|He went to the clinic feeling 不安 and left with a diagnosis that brought some 安心 at last.
2|EN_BASE|The surgeon explained the procedure with remarkable 丁寧さ, which helped ease my 緊張 before the operation.
2|EN_BASE|I've been tracking my 血圧 daily, and the numbers are finally showing some 改善.
2|EN_BASE|The nurse reminded us that 水分補給 is especially critical during fever, and that 回復 takes longer when you're dehydrated.
2|EN_BASE|Can you describe your 症状 in more detail so the doctor can assess the 重症度 of your condition?
2|EN_BASE|After three weeks of physical therapy, the 痛み in her knee finally gave way to a feeling of 軽さ.
2|EN_BASE|His 体重 has been fluctuating a lot, which the specialist says could indicate an underlying 代謝 issue.
2|EN_BASE|The pharmacist warned that this medication can cause 眠気, so avoid driving or operating heavy 機械 while taking it.
2|EN_BASE|Living with 慢性 back pain has taught her the quiet value of 忍耐 in everyday life.
2|EN_BASE|My 主治医 suggested a low-sodium diet, but honestly the hardest part has been giving up my favorite 食習慣.
2|EN_BASE|We have to respect the patient's 意思 before proceeding, especially given the 複雑さ of this case.
2|EN_BASE|The results showed elevated 炎症 markers, which would explain the persistent 倦怠感 you've been experiencing.
2|EN_BASE|Have you ever tried 瞑想 as a way to manage the 精神的 strain of long-term illness?
2|EN_BASE|The new ward has a much better 環境 for patients, with natural light and real 静けさ throughout the halls.
2|EN_BASE|She pushed through the 副作用 of chemotherapy with extraordinary 意志力 that inspired everyone around her.
2|EN_BASE|Getting enough 睡眠 each night is honestly one of the most powerful forms of 予防 medicine available.
2|EN_BASE|The pediatrician explained the 接種 schedule clearly, which removed a lot of the parents' 不確かさ.
2|EN_BASE|I noticed a 異変 in how I was breathing and made an appointment before any 悪化 could set in.
2|EN_BASE|The 診断 came as a shock, but her 前向き attitude throughout treatment was truly admirable.
2|EN_BASE|That clinic has a reputation for 丁寧 care, and the 信頼 patients place in the staff there is well-earned.
2|EN_BASE|Regular 有酸素運動 is good for the heart, but pushing too hard without rest can create 過労 you don't even notice building up.
2|EN_BASE|The 検診 came back mostly clean, though the doctor flagged one area of 懸念 worth monitoring.
2|EN_BASE|Managing 糖尿病 requires daily attention, and the emotional 負担 of that vigilance is often overlooked.
2|EN_BASE|She researched the 治療法 thoroughly before deciding, showing the kind of 自主性 that doctors actually appreciate.
2|EN_BASE|The shift nurse maintained a calm 態度 even during the most critical moments, which gave everyone else a sense of 安定.
2|EN_BASE|His 食欲 disappeared entirely during the infection, and the sudden 体力低下 alarmed his whole family.
2|EN_BASE|Good 姿勢 might seem trivial, but poor alignment is a surprisingly common 原因 of chronic headaches.
2|EN_BASE|The therapist encouraged her to express 本音 in sessions rather than hiding behind a polished 建前.
2|EN_BASE|After the injury, he had to rebuild 筋力 from scratch, and the mental 辛抱 required was just as hard as the physical work.
2|EN_BASE|We should acknowledge the 心理的 toll that a long hospital stay takes, not just the 身体的 recovery.
2|EN_BASE|My grandmother swears that a bowl of warm 雑炊 during illness carries more 癒し than any pill could.
2|EN_BASE|The MRI showed no signs of 異常, which was a huge source of 安堵 for the entire family.
2|EN_BASE|Maintaining 心の余裕 when you're managing a serious illness is incredibly difficult but genuinely worth the 努力.
2|EN_BASE|The 処方 she received was straightforward, but the 量 had to be carefully adjusted for her age and weight.
2|EN_BASE|High 湿度 in summer can worsen respiratory conditions, and many patients underestimate its 影響 on overall wellbeing.
2|EN_BASE|After months of 通院, she finally reached a stage of 寛解 that let her return to a normal life.
3|JP_BASE|このtrailはかなりsteepで、頂上からのviewは最高だった。
3|JP_BASE|その遺跡はhiddenな場所にあり、map無しではaccessが難しい。
3|JP_BASE|島のremoteな部分に行くためにsmallなボートをhireした。
3|JP_BASE|古い港町のnarrowな路地にはcozy なカフェやvintageの雑貨屋が並んでいた。
3|EN_BASE|My cat has such a 気まぐれ personality, always ignoring her 餌 until she decides it's 絶好 timing.
3|EN_BASE|The rabbit kept nibbling at the 畳 corner with a totally 無邪気 look on its 顔.
3|EN_BASE|Have you noticed how your dog picks up on your 気分 and mirrors back that same 穏やか energy all 一日?
3|EN_BASE|She described her parrot's 鳴き声 as surprisingly 上品, even though the bird's 言葉 were pretty rude.
3|EN_BASE|The goldfish just drifts through the tank with this 優雅 grace, totally 無関心 to all the 騒ぎ outside.
3|EN_BASE|It's a bit 不思議 how the old dog still finds 元気 every morning, wagging its tail with pure 喜び.
3|EN_BASE|The hamster runs its wheel with 真剣 focus, like it has some important 目的 and zero 余裕 for breaks.
3|EN_BASE|Can you believe how 大胆 this little stray cat was, stealing fish right off the 台所 counter with such 堂々 confidence?
3|EN_BASE|The turtle moves at its own 独自 pace, completely unbothered by the 焦り of everyone around and full of 貫禄.
3|EN_BASE|Our new puppy has a very 素直 nature but still chews everything with 情熱, especially the 布団 covers.
3|EN_BASE|That crow showed remarkable 知恵 by dropping the walnut onto the road, waiting for a car with 辛抱, then swooping down with 得意 flair.
3|EN_BASE|The vet said the cat's 体調 was fine, but suggested a more 地味 diet and regular walks for 健康.
3|EN_BASE|There's something very 癒し about watching the koi glide beneath the 水面, everything feeling 静�か around them.
3|EN_BASE|My dog gets this 誇らしげ expression whenever he learns a trick, strutting around with obvious 自信 and zero 謙遜.
3|EN_BASE|The hedgehog curled up into a 完璧 little ball, ignoring the 騒音 outside with a deeply 平和 vibe.
3|EN_BASE|Watching horses run across an open field gives me this 壮大 feeling that no amount of 言葉 can fully capture with 正確.
3|EN_BASE|The kitten kept attacking its own shadow with 無駄 energy, which was honestly the most 愉快 thing and a real 見物.
3|EN_BASE|Does your bird ever just stare at you with that 無表情 face, like it holds some deep 秘密 and total 優位?
3|EN_BASE|She trained her rescue dog with a lot of 忍耐, and the results were truly 見事, even bringing 感動 to strangers.
3|EN_BASE|The barn owl hunts with 正確 precision, its 眼差し fierce and calculating, leaving no room for 油断.
3|EN_BASE|My elderly cat spends her afternoons in 沈黙, watching birds outside with the kind of 集中 that feels almost 神聖.
3|EN_BASE|That stray dog had such 根性, surviving the winter alone, and you could see the 強さ and deep 傷 in its eyes.
3|EN_BASE|The chameleon's ability to change color is genuinely 神秘的, a perfect example of 自然 working at its most 精巧.
3|EN_BASE|Feeding ducks at the park always brings this 懐かしい feeling, especially on a 穏やか morning with the whole 家族 together.
3|EN_BASE|The ferret has this 独特 smell that takes some getting used to, but its 愛嬌 personality makes up for every 不便.
3|EN_BASE|Our parrot repeats things with uncanny 正確, so watch what you say — it has zero 遠慮 and excellent 記憶.
3|EN_BASE|The wolf's 遠吠え echoed through the forest with raw 迫力, filling every listener with a mix of 畏敬 and unease.
3|EN_BASE|She said adopting a senior dog required extra 覚悟, but the 絆 formed was deeper than any 言葉 could express.
3|EN_BASE|The aquarium's octopus has this 不気味 beauty about it, moving with fluid 優雅 and obvious 知性.
3|EN_BASE|My cat brings home 獲物 with clear 誇り and drops it at the door with a totally 得意 expression.
3|EN_BASE|Watching a mother bird feed her chicks is full of 温かみ, a deeply 本能 act performed with such 丁寧 care.
3|EN_BASE|The dog's 信頼 in its owner was absolute — it followed every command with 素直 obedience and quiet 安心.
3|EN_BASE|That peacock strutted past us with total 無視, feathers fanned out in 豪華 display, radiating pure 自己主張.
3|EN_BASE|My snake is actually very 温厚 when handled gently, which surprises guests who expect some kind of 危険 or wild 混乱.
3|EN_BASE|The way dolphins communicate has this 複雑 depth to it, suggesting a level of 知性 that demands our 敬意.
3|EN_BASE|He described his cat's midnight zoomies as pure 本能, a burst of 野性 energy with absolutely no sense of 時間.
3|EN_BASE|The shelter was 静か when we arrived, but every dog had a 切実 look in its eyes, full of 希望 and longing.
3|EN_BASE|Raising a puppy takes real 根気, a lot of 余裕 on bad days, and an endless supply of 愛情.
3|EN_BASE|The way my old dog greets me after a long trip feels like pure 無条件 love, and it always restores my 活力 and inner 平和.
3|EN_BASE|Watching a cat groom itself with such 几帳面 care, in perfect 無言 concentration, is oddly 清々しい.
3|EN_BASE|The 混雑 on the platform was so bad that I missed my 急行 train and had to wait in complete 静寂.
3|EN_BASE|She always reads with total 集中 during her commute, which I find 素直に admirable, but the swaying makes me 不安.
3|EN_BASE|Every morning the 改札 beeps at me because I forget to top up my card, and the 焦り is real, especially during 朝のラッシュ.
3|EN_BASE|He stood with 余裕 at the back of the car, scrolling his phone, completely unbothered by the 混乱 and the 騒音 around him.
3|EN_BASE|The 雰囲気 on the last train home is always a little 独特, with tired commuters slumped in their seats and the lights slightly 薄暗い.
3|EN_BASE|Is it 当然 to expect a seat during rush hour, or is that just 贅沢 thinking for someone who boards at the 終点 of the line?
3|EN_BASE|The bus driver announced the 遅延 with such calm 丁寧 that nobody even complained, which felt almost 不思議.
3|EN_BASE|I always feel a strange sense of 解放感 when I finally step off the crowded train and into the 広大 open air of the 地上.
3|EN_BASE|She sat in the 優先席 even though she looked perfectly healthy, and the silent 圧力 from other passengers was 明らか.
3|EN_BASE|The 節電 lighting inside the subway gives everything a slightly 不気味 glow that makes long commutes feel even more 憂鬱.
3|EN_BASE|I missed the transfer because the 案内 board was covered in 工事 scaffolding and the alternative route was completely 不明.
3|EN_BASE|Her daily 通勤 takes nearly two hours each way, yet she arrives at the office looking completely 余裕 and 爽やか.
3|EN_BASE|The 本音 is that nobody enjoys standing for forty minutes, but the 建前 of polite silence keeps the carriage remarkably 穏やか.
3|EN_BASE|Why does the 車内放送 always start with such a cheerful tone even when the 遅延 is massive and people are visibly 不満?
3|EN_BASE|He found a 穴場 bench near the less-used exit where he could eat lunch in 静か surroundings, far from the 喧騒 of the main hall.
3|EN_BASE|The 朝霧 was so thick that the bus was running entirely on 感覚, and passengers stared out at the 白い nothingness.
3|EN_BASE|Commuting by bicycle is seen as 健康的 here, but the steep 坂道 near the station makes it anything but 楽.
3|EN_BASE|I finally got a window seat and watched the 風景 pass by with a quiet sense of 充実, which almost made the hour-long ride 贅沢.
3|EN_BASE|The 乗り換え at the central hub always feels 複雑 because the signs are small and the 人波 never stops moving.
3|EN_BASE|There is something oddly 新鮮 about taking the first train of the day, when the seats are 清潔 and the 車内 is almost empty.
3|EN_BASE|Do you think the 座席 arrangement on this new line is more 快適 than the old one, or is the 揺れ still as bad?
3|EN_BASE|He pressed himself against the 壁 of the carriage with 忍耐, waiting for the next stop where at least half the crowd was 確実 to get off.
3|EN_BASE|The 夜行 bus was surprisingly 豪華, with reclining seats and curtains that gave each passenger a small pocket of 個人空間.
3|EN_BASE|Walking through the 地下街 to reach the platform always feels 迷宮 like, with too many exits and not enough 明確 signage.
3|EN_BASE|The 定期券 saves her a lot of money each month, and that 安心感 alone is worth the minor 手間 of getting it renewed.
3|EN_BASE|I find the sheer 密度 of people on the platform during rush hour genuinely 驚異的, and the 秩序 somehow maintained is even more so.
3|EN_BASE|The tram moved through the 下町 with a gentle 律動, rocking passengers into a half-awake state of total 無心.
3|EN_BASE|Could you tell me which 出口 leads to the north side, because the 案内 here is 不十分 and I keep circling back?
3|EN_BASE|The 終電 anxiety is real — missing it means either a 高額 taxi or a very 不快 walk home at midnight.
3|EN_BASE|She described her commute as 修行, a daily test of 忍耐力 that somehow made the rest of her day feel 楽勝.
3|EN_BASE|The 踏切 near the edge of town always causes a 渋滞 that makes the bus route 非効率 compared to the train.
3|EN_BASE|There is a sort of 連帯感 among regular commuters who share the same 時間帯, though nobody speaks and eye contact is strictly 禁物.
3|EN_BASE|The new automated 改札 handles 大量 passengers remarkably smoothly, and the wait times are now almost 皆無.
3|EN_BASE|He always chose the 最後尾 car because it stopped closest to the exit, a small but 確実 advantage in the daily 競争.
3|EN_BASE|The 空席 rate on weekend mornings is so high that the whole experience feels almost 別世界 compared to the weekday 混雑.
3|EN_BASE|I honestly prefer the 各駅停車 over the express because the slower pace gives me a sense of 余白 and the views are far 豊か.
3|EN_BASE|She noticed a 張り紙 on the door warning of 不規則 service, so she switched to the bus without any 迷い.
3|EN_BASE|The 夕暮れ light through the train windows turned the entire carriage 金色, making even the most exhausted commuters look almost 幻想的.
4|JP_BASE|彼女はweeklyのgymセッションをthreeから増やして、本当にfitになった。
4|JP_BASE|プールでのintervalトレーニングはintenseすぎて、lapを三十本終えたらcompletelyへとへとだった。
3|JP_BASE|vacuumで床をcleanした後、freshな空気が部屋に広がった。
3|JP_BASE|windowをwetな布でふいたら、outsideの景色がよく見えるようになった。
3|JP_BASE|laundryをdryな場所に干すために、indoorラックを使っている。
3|JP_BASE|bleachをdilutedな状態でタイルに塗ると、moldがよく落ちる。
3|JP_BASE|heavyな家具をmoveして、その下のdustを取り除いた。
3|JP_BASE|laundryをfreshな状態で取り込むために、早めにdryerから出した。
3|JP_BASE|kitchenのgreasyな換気扇は、hotなお湯で洗うと取れやすい。
3|JP_BASE|scrubパッドがrough すぎて、delicateな鍋に傷がついてしまった。
3|JP_BASE|shelfをemptyにしてから、deepなクリーニングを始めた。
3|JP_BASE|dirtyなlaundryがbasketにたまりすぎて、あふれそうになっている。
