Sentence|Gloss
That 映像 style reminded me of classic French New Wave cinema.|That visual/cinematographic style reminded me of classic French New Wave cinema.
She wrote a 長編 novel in under a year, which is kind of remarkable.|She wrote a full-length novel in under a year, which is kind of remarkable.
The 解説 at the back of the book was more interesting than the book itself.|The commentary at the back of the book was more interesting than the book itself.
I always watch things with 字幕 on, even in my native language.|I always watch things with subtitles on, even in my native language.
That author's prose is so 独特 that you can recognize it in a single paragraph.|That author's prose is so distinctive and unique that you can recognize it in a single paragraph.
The 予告編 made it look like a comedy, but the actual film was devastating.|The trailer made it look like a comedy, but the actual film was devastating.
He collects 絵本 from every country he visits as a kind of travel memoir.|He collects picture books from every country he visits as a kind of travel memoir.
The 監督 refused all interviews until the film had been in theaters for a month.|The director refused all interviews until the film had been in theaters for a month.
That scene was so 衝撃的 that the entire theater went completely silent.|That scene was so shocking that the entire theater went completely silent.
I can't believe they cancelled that show on such a 中途半端 cliffhanger.|I can't believe they cancelled that show on such an unresolved, halfway cliffhanger.
The 新刊 from her favorite author comes out next Tuesday and she's already pre-ordered it.|The new release from her favorite author comes out next Tuesday and she's already pre-ordered it.
That 幻想的 lighting design made the whole film feel like a half-remembered dream.|That fantastical, dreamlike lighting design made the whole film feel like a half-remembered dream.
I think the 脇役 in that series consistently outperformed the lead actors.|I think the supporting characters in that series consistently outperformed the lead actors.
We watched a really 地味 film last night, but it stuck with me all week.|We watched a really understated, plain film last night, but it stuck with me all week.
The 原作 was far darker than anything the adaptation dared to show.|The original source material was far darker than anything the adaptation dared to show.
That 音楽 score elevated every single emotional beat in the film.|That musical score elevated every single emotional beat in the film.
She annotates every 名作 she reads with color-coded sticky notes.|She annotates every masterpiece she reads with color-coded sticky notes.
The whole 雰囲気 of that series changed dramatically after the second season.|The whole atmosphere of that series changed dramatically after the second season.
That 朗読 version of the audiobook was performed so well it felt like a live show.|That reading/narration version of the audiobook was performed so well it felt like a live show.
My daughter has been so わがまま lately — she refuses to eat anything green.|My daughter has been so selfish/spoilt lately — she refuses to eat anything green.
He read his son a 絵本 before turning off the lights.|He read his son a picture book before turning off the lights.
Are you raising your kids to be 素直 in how they express their feelings?|Are you raising your kids to be honest and open in how they express their feelings?
The baby finally fell asleep, so please be 静か when you walk past the nursery.|The baby finally fell asleep, so please be quiet when you walk past the nursery.
She keeps a 日記 of every milestone her child reaches.|She keeps a diary of every milestone her child reaches.
My toddler threw the most 大げさ tantrum over a broken cracker.|My toddler threw the most over-the-top tantrum over a broken cracker.
We signed our son up for a 習い事 on Saturday mornings.|We signed our son up for a lessons/extracurricular class on Saturday mornings.
Raising twins requires a level of 忍耐 that I honestly did not expect.|Raising twins requires a level of patience that I honestly did not expect.
Is it normal for a three-year-old to be this 人見知り around strangers?|Is it normal for a three-year-old to be this shy around strangers?
She stitched her daughter's name onto every 上履き for the new school year.|She stitched her daughter's name onto every indoor school shoe for the new school year.
The 運動会 was rained out, and the kids were absolutely devastated.|The school sports day was rained out, and the kids were absolutely devastated.
My nephew is at that 反抗期 stage and argues about absolutely everything.|My nephew is at that rebellious phase stage and argues about absolutely everything.
He packs a 水筒 every morning so his daughter stays hydrated at school.|He packs a water bottle every morning so his daughter stays hydrated at school.
Do you think children learn 礼儀 more from parents or from teachers?|Do you think children learn manners/courtesy more from parents or from teachers?
That little girl showed such 思いやり when she shared her lunch with a classmate.|That little girl showed such compassion/consideration when she shared her lunch with a classmate.
We need to be more 丁寧 when we explain rules to young children.|We need to be more careful and gentle when we explain rules to young children.
The whole family gathered for the baby's お宮参り ceremony last weekend.|The whole family gathered for the baby's first shrine visit ceremony last weekend.
Her youngest has this incredibly 元気 personality — he never sits still.|Her youngest has this incredibly energetic personality — he never sits still.
I bought a colorful 図鑑 to encourage my daughter's love of bugs.|I bought a colorful illustrated encyclopedia to encourage my daughter's love of bugs.
Could you watch my kids for a bit? I need some 一人時間 this afternoon.|Could you watch my kids for a bit? I need some alone time this afternoon.
The teacher praised his child for being so 真面目 during the school trip.|The teacher praised his child for being so serious and diligent during the school trip.
We have a whole 行事 planned for the kids every weekend this month.|We have a whole event/special occasion planned for the kids every weekend this month.
She felt genuine 喜び watching her son take his very first steps.|She felt genuine joy watching her son take his very first steps.
My kids treat every cardboard box like it is a 宝物.|My kids treat every cardboard box like it is a treasure.
Isn't it amazing how 素直 a child's laughter sounds compared to an adult's?|Isn't it amazing how pure and unguarded a child's laughter sounds compared to an adult's?
They enrolled their daughter in a 学習塾 to help her prepare for entrance exams.|They enrolled their daughter in a cram school to help her prepare for entrance exams.
He apologized to the other parents in the most 誠実 way after his son caused trouble.|He apologized to the other parents in the most sincere and genuine way after his son caused trouble.
My three-year-old insists on carrying her own 通園バッグ to daycare.|My three-year-old insists on carrying her own nursery school bag to daycare.
The 兄弟 dynamic in their household is fascinating — constant rivalry but deep loyalty.|The sibling dynamic in their household is fascinating — constant rivalry but deep loyalty.
She whispered 大丈夫 to her crying son even though she was scared herself.|"She whispered ""it's okay"" to her crying son even though she was scared herself."
Watching your child perform at a 発表会 for the first time is genuinely emotional.|Watching your child perform at a recital for the first time is genuinely emotional.
His parenting style feels very 自由 — the kids pretty much set their own schedules.|His parenting style feels very free and unrestrictive — the kids pretty much set their own schedules.
She bought her daughter a 文房具 set as a back-to-school treat.|She bought her daughter a stationery set as a back-to-school treat.
The 子守唄 she sings every night is something her own mother sang to her.|The lullaby she sings every night is something her own mother sang to her.
My son gets so 夢中 with building blocks that he forgets to eat lunch.|My son gets so absorbed and obsessed with building blocks that he forgets to eat lunch.
We try to keep the house 清潔 now that the baby is crawling everywhere.|We try to keep the house clean now that the baby is crawling everywhere.
She set up a little 読書コーナー in her kid's room to encourage reading.|She set up a little reading corner in her kid's room to encourage reading.
Being a parent means accepting a level of 心配 that never really goes away.|Being a parent means accepting a level of worry that never really goes away.
Their son has such a 頑固 streak — once he decides something, there is no changing his mind.|Their son has such a stubborn streak — once he decides something, there is no changing his mind.
The look of 達成感 on her face when she finally tied her own shoes was priceless.|The look of accomplishment and satisfaction on her face when she finally tied her own shoes was priceless.
新しいhair dryerを買ったら、乾かす時間が半分になりました。|After buying a new hair dryer, the drying time was cut in half.
blushをつけすぎてしまって、少し派手になってしまいました。|I applied too much blush and ended up looking a little overdone.
このface maskを週に二回使うと、肌がとても明るくなります。|Using this face mask twice a week makes your skin much brighter.
彼女のponyтailはとても高い位置で結んでありました。|Her ponytail was tied up in a very high position.
cuticleの周りの乾燥が気になります。|I'm concerned about the dryness around my cuticles.
このsunscreenは白浮きしないので、毎日使いやすいです。|This sunscreen doesn't leave a white cast, so it's easy to use every day.
夏になったら、hair colorを少し明るくしたいと思います。|When summer comes, I want to lighten my hair color a little.
彼女のeyelashesはとても長くてカールしていました。|Her eyelashes were very long and curled.
このsetting sprayをすると、メイクが夜まで持続します。|With this setting spray, your makeup lasts until evening.
contourを入れるだけで、顔の輪郭がすっきり見えます。|Just adding contour makes your face look more defined.
新しいrazorを使ったら、肌への刺激がほとんどありませんでした。|When I used the new razor, there was almost no irritation to my skin.
彼女はいつもglossyな仕上がりよりもnatural lookを好みます。|She always prefers a natural look over a glossy finish.
このtweezerで眉毛を整えるのはとても難しいです。|It's very difficult to groom your eyebrows with these tweezers.
彼のfaceはとても整った顔立ちをしています。|His face has very well-balanced features.
vitaminCが入ったessenceは、くすみに効くと聞きました。|I heard that essence containing vitamin C is effective for dull skin.
このnail fileは使いやすくて、爪がきれいに整います。|This nail file is easy to use and shapes nails nicely.
最近、glowy skinが流行っているようです。|It seems like glowy skin is trending lately.
彼女のhair textureはとても細くて柔らかいです。|Her hair texture is very fine and soft.
このexfoliantを使うと、古い角質が落ちて肌が明るくなります。|When you use this exfoliant, dead skin cells are removed and your skin brightens.
今日のflightは何時に出発しますか？|What time does today's flight depart?
空港でlost baggage の手続きをしなければなりませんでした。|I had to go through the lost baggage procedure at the airport.
この街のhidden gemをいくつか教えてもらえませんか？|Could you tell me some hidden gems in this city?
展望台からのviewは本当に息をのむほどでした。|The view from the observation deck was truly breathtaking.
そのhotelのロビーはとても広くて豪華でした。|The hotel lobby was very spacious and luxurious.
旅行中はcomfortableな靴を履くことをお勧めします。|I recommend wearing comfortable shoes while traveling.
博物館のguidedツアーに参加しましたか？|Did you join the guided tour at the museum?
次の目的地はどこかscenicな場所にしたいです。|I want our next destination to be somewhere scenic.
その古いcathedralの建築は本当に見事でした。|The architecture of that old cathedral was truly magnificent.
山頂までのhikingトレイルはかなりきつかったです。|The hiking trail to the summit was quite tough.
このcafe はローカルに人気があるらしいですよ。|Apparently this cafe is popular with locals.
列車のplatformが変わったので急いで移動しました。|The train platform changed, so we rushed to move.
旅行の最後の夜にfancy なレストランへ行きました。|On the last night of the trip, we went to a fancy restaurant.
その市場では地元のhandmade工芸品がたくさん売られていました。|Lots of local handmade crafts were sold at that market.
海沿いのsunsetを見ながら散歩するのが好きです。|I like taking walks while watching the sunset along the coast.
旅先でwifi がつながらなくてとても困りました。|I was really troubled when the wifi didn't connect at my destination.
この地図によるとlighthouseはもうすぐそこのようです。|According to this map, the lighthouse seems to be just around the corner.
パスポートのcopyを必ず持っておくといいですよ。|It's a good idea to always carry a copy of your passport.
そのstreet foodは見た目も味も最高でした。|That street food was amazing in both appearance and taste.
夜のcruiseでライトアップされた橋を見ました。|We saw the illuminated bridge on an evening cruise.
この地域のlocal festivalに偶然居合わせることができました。|We happened to be able to attend a local festival in this area.
荷物が重すぎたので、あとでdeliveryで送ることにしました。|My luggage was too heavy, so I decided to send it later by delivery.
ホテルのrooftopから星空を眺めるのは格別でした。|Gazing at the starry sky from the hotel rooftop was something special.
その古い町並みはとてもpicturesqueで写真を撮りまくりました。|That old townscape was very picturesque and I took tons of photos.
今回の旅でone-wayチケットしか買っていません。|For this trip, I only bought a one-way ticket.
渓谷のtrailheadでガイドと待ち合わせをしています。|We are meeting our guide at the canyon trailhead.
この美術館のmain exhibitionは予約が必要でしょうか？|Does the main exhibition at this museum require a reservation?
レンタカーのfull tankオプションをつけた方が便利です。|It's more convenient to add the full tank option to the rental car.
その海岸はとてもsecludedで人がほとんどいませんでした。|That beach was very secluded and there were almost no people.
旅のspotlight はやはり古都の遺跡巡りでした。|The spotlight of the trip was, after all, touring the ruins of the ancient capital.
空港のcheckoutまでまだ時間があるので街を歩きましょう。|We still have time before airport checkout, so let's walk around the city.
峠からの景色はabsolutely 最高でした。|The view from the mountain pass was absolutely amazing.
この島へのferry は一日に二本しかありません。|There are only two ferries to this island per day.
現地でbike rentaをして古い街並みを回りました。|We rented bikes on-site and explored the old townscape.
旅行中に見つけたcozyな宿に二泊しました。|We stayed two nights at a cozy inn we found during the trip.
その滝へのaccessはかなり不便でした。|Access to that waterfall was quite inconvenient.
国境を越えるときにcustomsで荷物を全部開けさせられました。|At customs when crossing the border, we were made to open all our luggage.
この古城にはdark な歴史があると地元の人が言っていました。|A local told us that this old castle has a dark history.
その港町のseafoodレストランは値段も雰囲気も最高でした。|The seafood restaurant in that port town was excellent in both price and atmosphere.
旅の最後にoverlookから全景を眺めて満足しました。|At the end of the trip, I was satisfied gazing at the whole panorama from the overlook.
うちの犬はとてもplayfulで、毎日公園で走り回っています。|My dog is very playful and runs around the park every day.
猫がcouchの上でずっと寝ているのを見ると、羨ましくなります。|When I see my cat sleeping on the couch all day, I get jealous.
このfluffy な兔はペットショップで一番人気があります。|This fluffy rabbit is the most popular at the pet shop.
金魚のaquariumを掃除するのは思ったより大変です。|Cleaning the goldfish aquarium is harder than I expected.
ハムスターがcageから逃げ出して、家中を走り回りました。|The hamster escaped from its cage and ran all around the house.
あなたの犬はどんなfoodを食べていますか？|What kind of food does your dog eat?
猫は独立心が強くて、とてもindependentな動物だと思います。|I think cats are strong-willed and very independent animals.
鳥がsingingしているのを聞いて、朝気分よく目が覚めました。|I woke up in a good mood this morning hearing the birds singing.
うちのインコはとてもvocalで、一日中おしゃべりしています。|My parakeet is very vocal and chatters all day long.
獣医さんはこの子犬がhealthyだと言ってくれました。|The vet told me this puppy is healthy.
熱帯魚のcolorfulな模様を眺めているだけで癒されます。|Just gazing at the colorful patterns of tropical fish is soothing.
犬のgroomingは定期的にしてあげないといけません。|You have to groom your dog regularly.
この猫はとてもshy で、知らない人が来るとすぐに隠れます。|This cat is very shy and hides immediately when strangers come.
ウサギのふわふわしたtailを触ると、気持ちが和みます。|Touching a rabbit's fluffy tail puts me at ease.
犬のleashを忘れて公園に来てしまいました。|I came to the park and forgot the dog's leash.
ペットのgerbilは夜行性なので、昼間はほとんど眠っています。|Pet gerbils are nocturnal, so they sleep most of the day.
このshelterから引き取った猫はもう家族の一員です。|The cat we adopted from this shelter is already a member of the family.
うちの犬はsnacksをもらうと、すごく嬉しそうに尾を振ります。|My dog wags its tail happily whenever it gets snacks.
爬虫類をペットにするのはかなりchallenging だと友達に聞きました。|I heard from a friend that keeping reptiles as pets is quite challenging.
猫がwindowsillに座って、外の鳥をじっと見つめていました。|The cat sat on the windowsill staring intently at the birds outside.
子犬のtraining を始めるなら、早いほどいいそうです。|They say the sooner you start a puppy's training, the better.
このplayground では犬を自由に走らせることができます。|Dogs can run freely in this playground.
うちの猫はとてもcuriousで、新しいものを見るとすぐ近づいてきます。|My cat is very curious and comes right over whenever it sees something new.
鳥かごのperchを新しいものに取り替えてあげました。|I replaced the perch in the birdcage with a new one.
犬がoutdoorで遊ぶのが大好きで、雨の日も外に出たがります。|My dog loves playing outdoors and wants to go out even on rainy days.
新しいscratchingポストを買ったのに、猫は全然使いません。|I bought a new scratching post but the cat won't use it at all.
うちのモルモットはとてもgentle で、子供にも懐いています。|Our guinea pig is very gentle and has warmed up to the children too.
動物園でのzookeeper の仕事は体力的にもきつそうです。|A zookeeper's job at the zoo looks physically demanding.
この犬はbreeding で有名な農場から来たと聞いています。|I've heard this dog comes from a farm famous for its breeding.
猫のwhiskerは暗い場所でも方向を感じ取るのに役立っています。|A cat's whiskers help it sense direction even in dark places.
うちの亀はとてもlazy で、一日中石の上でじっとしています。|Our turtle is very lazy and sits motionless on the rock all day.
ペットのrabbitに毎朝野菜をあげるのが日課になっています。|Giving vegetables to our pet rabbit every morning has become a daily routine.
犬を散歩させていたら、近所の子供たちがadorableだと集まってきました。|While walking my dog, the neighborhood kids gathered saying it was adorable.
猫のpawが小さくてかわいくて、ずっと触っていたくなります。|A cat's paws are so small and cute that I always want to keep touching them.
動物のrescueボランティアに参加して、多くのことを学びました。|I joined an animal rescue volunteer group and learned a great deal.
このferal な猫は人に慣れるまでかなり時間がかかりました。|It took quite a long time for this feral cat to get used to people.
ペットのsnakeを友達に見せたら、みんなびっくりして後ずさりしました。|When I showed my pet snake to my friends, everyone was startled and stepped back.
犬のcollarに迷子札をつけておくことはとても大切です。|It's very important to attach an ID tag to your dog's collar.
うちのオウムはとてもclever で、いくつかの言葉を覚えています。|Our parrot is very clever and has learned several words.
今朝のrush hourは本当にひどかった。|This morning's rush hour was really terrible.
platformでずっと待っていたのに、電車が来なかった。|I kept waiting on the platform, but the train never came.
このroute、工事のせいで最近すごく混んでいる。|This route has been really crowded lately because of construction.
commute中に読書するのが私の習慣です。|Reading during my commute is my daily habit.
終電を逃したから、taxiで帰るしかなかった。|I missed the last train, so I had no choice but to take a taxi home.
あのバスはいつもscheduledより十分遅れて来る。|That bus always arrives ten minutes later than scheduled.
地下鉄のairconがきかなくて、汗だくになった。|The subway's air conditioning wasn't working and I was drenched in sweat.
transferの乗り継ぎがうまくいって、予定より早く着いた。|The transfer connection went smoothly and I arrived earlier than planned.
毎朝six carの一番前に並ぶのが彼女の習慣だ。|Every morning it's her habit to line up at the very front of the six-car train.
このstationは改装されて、とてもきれいになった。|This station was renovated and became really beautiful.
混雑したcarriageの中で財布を落としてしまった。|I dropped my wallet inside a crowded carriage.
通勤にかかる時間がone hourを超えると疲れが全然違う。|When the commute exceeds one hour, the fatigue feels completely different.
バスのdriverさんがとても親切に道を教えてくれた。|The bus driver very kindly gave me directions.
今日はweatherが悪いから、電車がダイヤ乱れるかもしれない。|Today's weather is bad, so the train schedule might be disrupted.
subwayのホームで忘れ物をしたことに気づいた。|I realized I had left something behind on the subway platform.
彼はdaily passを持っているので改札をスムーズに通れる。|He has a daily pass so he can get through the ticket gate smoothly.
express列車に乗り間違えて、全然違う駅に着いてしまった。|I got on the wrong express train and ended up at a completely different station.
通勤ラッシュ中にlarge backpackを背負うのはやめてほしい。|Please don't wear a large backpack during the commuting rush.
このバス停はnight busが止まらないので注意してください。|Please be careful — the night bus doesn't stop at this bus stop.
彼女はいつもwindow seatに座って景色を眺めている。|She always sits in a window seat and gazes at the scenery.
乗り換えのconnectionが三分しかなくて、全力で走った。|There was only a three-minute connection for my transfer and I ran as fast as I could.
今日からfree wifiが地下鉄の全路線で使えるようになった。|Starting today, free wifi is available on all subway lines.
あの路線はoverground区間が多くて景色が楽しめる。|That line has many overground sections so you can enjoy the scenery.
雨の日はbicycleより電車のほうが断然楽だと思う。|On rainy days I think the train is far more comfortable than a bicycle.
通勤中にpodcastを聴くのが最近のマイブームだ。|Listening to a podcast during my commute is my latest personal trend.
priorityシートの近くでは電話を控えるべきです。|You should refrain from making phone calls near the priority seats.
このstretched路線は来年さらに延伸される予定だ。|This extended line is planned to be extended further next year.
満員電車でstandingのまま一時間乗り続けるのは本当につらい。|Riding a packed train standing for a whole hour is genuinely exhausting.
earphoneをしていたせいで乗り換えのアナウンスを聞き逃した。|Because I had my earphones in, I missed the transfer announcement.
そのバスはenvironmentにやさしい電動タイプに変わったらしい。|Apparently that bus has been changed to an environmentally friendly electric type.
ラッシュ時にはgapがかなり大きくなるので足元に気をつけて。|During rush hour the gap gets quite large so watch your step.
地下鉄のmonthly cardを落としたことに気づいて青ざめた。|I went pale when I realized I had dropped my monthly train card.
終点のterminalまで乗ってしまって、引き返すのに時間がかかった。|I rode all the way to the terminal and it took time to get back.
今日はoccasionallyしか来ないバスに乗ることにした。|Today I decided to take the bus that only comes occasionally.
彼はlate-nightの電車でよく眠り過ごして困っている。|He often oversleeps on late-night trains and it causes him trouble.
スムーズなtransitのために乗り換えルートを事前に調べておいた。|I looked up the transfer route in advance for a smooth transit.
混雑した駅でlost childのアナウンスが何度も流れていた。|An announcement about a lost child was broadcast repeatedly at the crowded station.
pedestrianデッキから駅まで雨に濡れずに行けるのが便利だ。|It's convenient that you can get to the station from the pedestrian deck without getting rained on.
このバス路線はdirect serviceがないから一度乗り換える必要がある。|This bus route has no direct service so you need to transfer once.
通勤時間をproductiveに使う方法を最近ずっと考えている。|I've been thinking lately about how to use my commuting time productively.
子どもがplaygroundで転んで、ひざを擦りむいた。|The child fell at the playground and scraped their knee.
息子はhomeworkをなかなか始めようとしない。|My son just won't start his homework.
